n		 a0			b0			(a0+b0)/2			|f((a0+b0)/2)|
n		 a0			b0			(a0+b0)/2			|f((a0+b0)/2)|
n		 a0			b0			(a0+b0)/2			|f((a0+b0)/2)|
0       3.000000000000000e+00     4.000000000000000e+00     3.500000000000000e+00     6.384000000000540e-01 
1       3.000000000000000e+00     3.500000000000000e+00     3.250000000000000e+00     6.384000000000540e-01 
2       3.250000000000000e+00     3.500000000000000e+00     3.375000000000000e+00     1.298062500000370e-01 
3       3.250000000000000e+00     3.375000000000000e+00     3.312500000000000e+00     1.298062500000370e-01 
4       3.250000000000000e+00     3.312500000000000e+00     3.281250000000000e+00     1.298062500000370e-01 
5       3.281250000000000e+00     3.312500000000000e+00     3.296875000000000e+00     4.947273101806360e-02 
6       3.296875000000000e+00     3.312500000000000e+00     3.304687500000000e+00     8.306866550476855e-03 
7       3.296875000000000e+00     3.304687500000000e+00     3.300781250000000e+00     8.306866550476855e-03 
8       3.296875000000000e+00     3.300781250000000e+00     3.298828125000000e+00     8.306866550476855e-03 
9       3.298828125000000e+00     3.300781250000000e+00     3.299804687500000e+00     3.117866029278105e-03 
10      3.299804687500000e+00     3.300781250000000e+00     3.300292968750000e+00     5.198757008102461e-04 
11      3.299804687500000e+00     3.300292968750000e+00     3.300048828125000e+00     5.198757008102461e-04 
12      3.299804687500000e+00     3.300048828125000e+00     3.299926757812500e+00     5.198757008102461e-04 
13      3.299926757812500e+00     3.300048828125000e+00     3.299987792968750e+00     1.949642113530103e-04 
14      3.299987792968750e+00     3.300048828125000e+00     3.300018310546875e+00     3.249493693857630e-05 
15      3.299987792968750e+00     3.300018310546875e+00     3.300003051757813e+00     3.249493693857630e-05 
16      3.299987792968750e+00     3.300003051757813e+00     3.299995422363281e+00     3.249493693857630e-05 
17      3.299995422363281e+00     3.300003051757813e+00     3.299999237060547e+00     1.218564361948893e-05 
18      3.299999237060547e+00     3.300003051757813e+00     3.300001144409180e+00     2.030944138198265e-06 
19      3.299999237060547e+00     3.300001144409180e+00     3.300000190734863e+00     2.030944138198265e-06 
20      3.299999237060547e+00     3.300000190734863e+00     3.299999713897705e+00     2.030944138198265e-06 
21      3.299999713897705e+00     3.300000190734863e+00     3.299999952316284e+00     7.616042765334896e-07 
22      3.299999952316284e+00     3.300000190734863e+00     3.300000071525574e+00     1.269340046405887e-07 
23      3.299999952316284e+00     3.300000071525574e+00     3.300000011920929e+00     1.269340046405887e-07 
24      3.299999952316284e+00     3.300000011920929e+00     3.299999982118607e+00     1.269340046405887e-07 
25      3.299999982118607e+00     3.300000011920929e+00     3.299999997019768e+00     4.760028815553596e-08 
26      3.299999997019768e+00     3.300000011920929e+00     3.300000004470348e+00     7.933415702154889e-09 
27      3.299999997019768e+00     3.300000004470348e+00     3.300000000745058e+00     7.933415702154889e-09 
28      3.299999997019768e+00     3.300000000745058e+00     3.299999998882413e+00     7.933415702154889e-09 
29      3.299999998882413e+00     3.300000000745058e+00     3.299999999813735e+00     2.975049540054897e-09 
n		 a0			b0			(a0+b0)/2			|f((a0+b0)/2)|
0       4.000000000000000e+00     5.000000000000000e+00     4.500000000000000e+00     1.461599999999969e+00 
1       4.000000000000000e+00     4.500000000000000e+00     4.250000000000000e+00     1.461599999999969e+00 
2       4.250000000000000e+00     4.500000000000000e+00     4.375000000000000e+00     9.201937500000028e-01 
3       4.375000000000000e+00     4.500000000000000e+00     4.437500000000000e+00     1.914339843750028e-01 
4       4.375000000000000e+00     4.437500000000000e+00     4.406250000000000e+00     1.914339843750028e-01 
5       4.375000000000000e+00     4.406250000000000e+00     4.390625000000000e+00     1.914339843750028e-01 
6       
